STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
MA0234039           ,MARWAN ZIG ZAG SHELF     ,20-Jul,8,30,0,11,0,1.17,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,20-Jul,8,30,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,20-Jul,8,30,0,2,-1,6.25,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,13-Jul,7,29,16,18,0,4.58,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,13-Jul,7,29,2,12,0,1.5,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,13-Jul,7,29,0,5,2,0.92,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,13-Jul,7,29,5,4,0,1.75,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,13-Jul,7,29,21,6,2,0.83,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,13-Jul,7,29,6,6,0,0.67,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,13-Jul,7,29,0,19,4,8.17,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,13-Jul,7,29,0,0,0,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,13-Jul,7,29,0,0,4,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,13-Jul,7,29,125,23,28,24.5,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,13-Jul,7,29,120,26,20,10.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,13-Jul,7,29,0,0,0,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,13-Jul,7,29,3,9,1,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,13-Jul,7,29,0,15,2,1.75,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,13-Jul,7,29,0,16,5,2.25,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,13-Jul,7,29,0,11,5,4.25,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,13-Jul,7,29,0,0,2,1.92,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,13-Jul,7,29,0,0,0,0.75,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,13-Jul,7,29,0,14,2,2.42,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,13-Jul,7,29,0,0,1,0.67,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,13-Jul,7,29,0,0,0,0.25,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,13-Jul,7,29,0,13,2,2.08,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,13-Jul,7,29,0,19,1,1.33,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,13-Jul,7,29,8,15,1,0.75,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,13-Jul,7,29,0,11,1,1.25,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,13-Jul,7,29,0,,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,13-Jul,7,29,0,2,2,7.33,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,7-Jul,6,28,16,18,3,4.58,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,7-Jul,6,28,2,12,1,1.5,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,7-Jul,6,28,0,5,0,0.92,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,7-Jul,6,28,5,4,1,1.75,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,7-Jul,6,28,21,6,0,0.83,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,7-Jul,6,28,6,8,1,6.7,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,7-Jul,6,28,0,19,4,8.17,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,7-Jul,6,28,0,0,3,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,7-Jul,6,28,0,0,5,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,7-Jul,6,28,125,23,24,24.5,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,7-Jul,6,28,120,26,11,10.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,7-Jul,6,28,0,0,1,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,7-Jul,6,28,3,9,0,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,7-Jul,6,28,0,15,1,1.75,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,7-Jul,6,28,0,16,3,2.25,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,7-Jul,6,28,0,11,2,4.25,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,7-Jul,6,28,0,0,2,1.92,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,7-Jul,6,28,0,0,2,0.75,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,7-Jul,6,28,0,14,3,2.42,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,7-Jul,6,28,0,0,0,0.67,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,7-Jul,6,28,0,0,1,0.25,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,7-Jul,6,28,0,13,1,2.08,Marwan,Coffee Table,DINE,CHR 
